"we'll transcribe it as soon as I get it but","confusion|frustration|humor"
"I won't look at it","confusion|frustration|humor"
"I won't look at it other than to check","confusion|frustration|humor"
"that it hasn't gone mad","confusion|frustration|humor"
"yeah",""
"yeah that's fine",""
"that's the most similar answer well no actually no it's registration prior to analysis of data","confusion"
"but it assumes that you have created the data I assume I assume it's linear in the sense","confusion|meta"
"but we will by the time we register we will have created the date we will have created some of","confusion|meta"
"the data we won't have analyzed it but we won't have analyzed it but it will be created by then","confusion|meta"
"yeah it's just we're filling in the form as we create the data which is okay well let's do we'll","confidence"
"Let's do this bit here then since we're thinking about it.","pragmatism"
"So on the design plan you also already had produced that, right?",""
"So you had the whole methodology of processing and study design, which was this, what do you call it?",""
"Auto-ethnographic, thematic analysis.",""
"There was a...",""
"Yeah, that's the one.",""
"There was a whole book that you said you should read.","meta"
"Well, no one.",""
"reading the book but you can read the 12-page paper version of it let's let's","pragmatism"
"stick with this bit here because if we can get the other stuff done so what is","pragmatism"
"going to be the existing data we already have the existing data will be","pragmatism"
"screen recordings and meeting minutes screen and audio recording a screen and audio","confidence|pragmatism"
"and transcriptions.",""
"That's processing or I do, right?",""
"Any transcriptions?",""
"I...",""
"Whatever.",""
"Well, no, because I'm going to transcribe them before I analyze them.","confusion"
"Correct now.",""
"Just because time.",""
"A meeting minutes of us attempting to pre-register this study.","meta"
"We cannot... We cannot... So it says, please describe steps you've taken to assure that you are unaware of patterns or summary statistics in the data. We can't do that because the point of filling in the data is...","confusion|meta"
"has been limited because we cannot be aware of passions or summary statistics in the data.","confusion|meta"
"which is always a bit dodgy down here.",""
"You never know if someone trying to poison.","humor"
"Oh, okay, then yeah.",""
"But I get to eat one.",""
"We are collecting the data as we attempt.",""
"We are pre-recording audio in here and we've got the roombook for a meeting so I go hide.","interruption"
"You can use it but be aware that you might be recorded.",""
"You're out here.",""
"I mean, with online, it's up to you.",""
"As we attempt to register the study to begin.",""
"To begin with, this research is auto-ethno-ethnic. This research is auto-ethno-ethno-eater.",""
"graphic, no. Explanation of how the data access to the data has been limited. The data doesn't","questioning"
"exist yet. I think you've answered that, right? This may include an explanation, but you've","confusion"
"cleared off all the need. Yeah. It's saying the data doesn't exist, but it's not being created","data"
"before the registration. It does not exist prior to registration.","data"
"part of the data",""
"well yeah",""
"well the data as a whole","data"
"if we say part of the data then I think we have to start","laziness"
"answering some of the other ones","laziness"
"and I",""
"this is already measure as hell","humor|meta"
"then we can say",""
"registration prior to the creation of data",""
"the data does not exist prior to the registration",""
"registration prior to creation of the data",""
"well no but we are creating the data",""
"Yes, the data does not exist prior to the...",""
"Oh, during the resistance, yes.",""
"Yeah, yeah, yeah, yeah.","realization"
"So as we go through the process of registering, then we create data.","realization|reasoning"
"So it must be.","acceptance"
"describe the process by which you will collect your data",""
"so the process is screen and audio recording recording of and fortnightly meetings","confidence"
"of study organizers.",""
"Organising the study.",""
"Who are organizing the study?",""
"I hope that awaits",""
"proper pre-registration.",""
"Recruitment is limited to those.",""
"who are running the study as it is autoethnographic.","confidence"
"I like that word. I don't know why.","humor|meta"
"I want to put it everywhere.","humor|meta"
"You may include the meeting minutes in meetings of screen,",""
"audio recording for the meetings.",""
"We are involving human subjects.","subjects"
"Oh well no, we're not out.","confusion|subjects"
"Three.",""
"Well, it's five notionally because the minutes include in or in a vase, even if they haven't been here.","sarcasm"
"So the sample sizes the number of academics assigned to the number of academics assigned to the world.","subjects"
"to the working group currently five.",""
"Though not all at end.",""
"How many birds?",""
"Hey, we're recording in here.","interruption"
"Oh, if you're just going through, that's fine.","interruption"
"But yeah, that's fine.",""
"And the reason we're doing that number of people is the arbitrary constraint of the working group side.",""
"When are we going to stop collecting data?","collection|questioning"
"then...",""
"We were completed this poem.",""
"It's delightfully matter this, isn't it? It's just...","humor|meta"
"When we have completed the study.",""
"Yeah.",""
"And produce guidelines, I guess.","realization|reasoning"
"If all of these is about the pre-registration.",""
"No, no, this is about data collection only, right?","confusion"
"Yeah.",""
"So this is once we've completed pre-registration.",""
"Well, we'll still be collecting the minutes, though, from the sessions.","meta"
"But...","confusion"
"But...","confusion"
"Because the pre-registration is for how to we come up.",""
"But then the previous answer to...",""
"We've collected all...",""
"We're pre-adgestering before analysis.","reasoning"
"We'll be doing the analysis as part of the study.",""
"You have to include...",""
"study you have to include in that whatever happens after the pre-registration.",""
"Oh, it's too much. It is, isn't it? I think we're right that it's registration prior to the analysis of data.","confusion|meta"
"or is it it can't be prior to any human observation of the data?","confusion"
"Oh it's fine it's still prior to the analysis of the data because the when we stop.","reasoning"
"Well because that assumes data has been collected already.","reasoning"
"Right whereas we're yeah there's part data right there's part data right there's there's","reasoning"
"is just part of it that will be still being produced but that's fine yeah the fight that is still","reasoning"
"being produced is less for risk to the values of the study yeah and i think so long as we're","reasoning"
"clear that we're analyzing the process of it we're not being deceitful in any way about how we're trying","reasoning"
"to analyze or collect the data you can demonstrate that by leaving the shitted jokes in the recording","reasoning"
"yes yes so if anyone's got any really filthy jokes and absolutely now because","humor"
"as part of the scientific record, we should probably have ourselves cancelled.","humor"
"When a vase turns back up, as the person who vaguely understands what we're doing,","curiosity|meta"
"I'm going to be really interested to see what he says about all this.","curiosity|meta"
"Because I think, okay, part of this is us muddling through,","confusion|meta|process"
"and we haven't done this process before, and so we're not familiar with it.","confusion|meta|process"
"And part of it is this is kind of wacky.","confusion|humor|meta|process"
"anyway. But I think I could, if it was normally doing this just with a normal user study,","experience|meta|usability"
"I could absolutely do this because I know I would be doing registration prior to the creation of","experience|meta|usability"
"data, then I'll be going through ethics, then I'd be going through and running the study,","experience|meta|usability"
"and I could say how I was going to analyse it and what I expected to see. It's just because","experience|meta|usability"
"this is horrifically matter that it's so confusing. And so long as we're honest about that,","confusion|experience|meta|usability"
"that we are confused. I mean, it comes back to the first hypothesis, right? We don't know what we're doing.","confusion|experience|meta|usability"
"It also becomes a confounded variable, right? We don't have been easier to do. We still not know","experience|meta|reasoning|usability"
"what we're doing if it was a different study. Yeah. Shall we try looking at the variable section next?",""
"Yeah. How was the design plan? What was missing there? We had to give the method.",""
"and we should do randomize.",""
"Oh, we can answer the randomization.","confidence"
"That's easy.","confidence|meta"
"We are not randomizing anything ourselves.",""
"We are already too confused.","humor"
"It's a good job we take science seriously here, isn't it?","sarcasm"
"I mean, so are we need.",""
"manipulating any variables. This is not applicable to any observational study, this is an observational study.","reasoning"
"And it's not applicable anymore.","reasoning"
"Yeah, it's not.","confidence"
"So just that it's more...",""
"Measureed variables.",""
"So this is where I was suggesting that at the end, we will be producing something that we'll put in front of the school,","meta"
"and having them come back.","meta"
"But that is not yet included in this period registration.","meta"
"No.","confidence"
"Is it?","confusion"
"No.",""
"No, we will need to write a new one.",""
"Yes, because you can't produce that until we've completed the study, in which case that becomes then our paper findings.","meta|process"
"This is why I was hoping that always had done, I met a thing, knowing what he's doing,","meta|process"
"done the pre-registration of the entire study, including the measurement of our outputs, so that this can be a substanti.","meta|process"
"a sub-study of that. But it doesn't matter. I think I only want to go through this meta process","frustration|meta"
"once. His wouldn't be better. But anyway, just go through the measured variables. I don't think","frustration|meta"
"we are measuring anything. It's quantitative. There are no measured variables.","confidence"
"this is a qualitative...","confidence"
"Well, I believe there is a boolean...","reasoning"
"We succeeded or not on the process of producing these...",""
"...per registration.",""
"We succeed by default, right?","reasoning"
"Which is a variable...",""
"Sorry?","confusion"
"We succeed by default.","reasoning"
"If we don't succeed it, we don't manage to pre-register the study.",""
"Yeah?",""
"But is it still a viable or not?",""
"Well, it's not because by the time we get to measuring it,","meta|reasoning"
"it's because it is true.","meta|reasoning"
"Yeah.",""
"What happens if we don't finish the pre-registration?","meta|reasoning"
"Well, then we don't pre-register the study, do we?","meta|reasoning"
"But there's no study.","meta|reasoning"
"To pre-register?","confusion|meta|reasoning"
"I mean, there is a study.","meta|reasoning"
"There is no pre-registration, successful pre-registration,","meta|reasoning"
"but the study exists even if we...","meta|reasoning"
"we don't pre-resist it. The study exists. The study may exist, but there'll be no pre-registration of it.","meta|reasoning"
"Yeah, that's correct, yeah. But there is still a variable that we succeeded or not.","answering|meta"
"If we don't succeed the pre-registration, we still have run the experiment.","answering|meta"
"Yes. But that forum is nowhere if we, like, okay.","confusion|meta"
"It's meaningless but we should still...","confusion|meta"
"Beyond the...",""
"Yeah, I know it's meaningless, but what I mean.","confusion|meta|reasoning"
"Not of being able to pre-register a study.",""
"To begin with.",""
"Sometimes I think this would be easier if we were blind drunk.","humor"
"maybe that can be the next thing.","humor"
"It can be a treatment, we apply.","humor"
"I can have alcohol.","humor"
"You two can't because I need it all","humor"
"because this is really confusing me.","confusion|humor"
"It's a treatment.",""
"We can now.",""
"No, that means more paperwork.",""
"Everyone gets beer.","humor"
"We reply beer to everyone.","humor"
"It's good.",""
"Ooh, some of it can be non-alcoholic and we don't tell.","humor"
"But we have to add some bitterness.","|humor"
"Yeah. He's got bitterness, who's got the placebo, which is just beer water.","humor"
"into an index or even a mean and what measures will be included?",""
"This is not we're using.",""
"We are using thematic analysis and no quantitative",""
"if measures will be taken.",""
"I mean, is the thematic analysis producing, like, are the themes, can they be construed as an index, the themes that you end up with?","confusion"
"So at least, what do we mean by an index?","confusion"
"Well, it's a single value that represents the characteristics of the data.","reasoning"
"In which case, no, but if we're talking about the index as being.","reasoning"
"like the index of a book and when were certain topics addressed then it is an index into the thing but I don't think in the terms of the way it means indexes that's what it's talking about I think we've done variables should we go on to analysis plan yes we are not using any statistical models because we are reporting our experiences of","reasoning"
"doing this process.",""
"Right?",""
"Okay.",""
"I'm going on the bus this morning. It was just awful.",""
"We will require a coding scheme for categorical variables.","reasoning"
"is they're not our coding scheme will emerge from our analysis of the data.","reasoning"
"I'm not sure about the transcription of the video, an audio recordings. Oh good point actually.","reasoning"
"Yeah. Yeah. Yeah. Well shall I just say we intend to you well we have been using","confidence"
"the whisper models for...",""
"I mean, you just said it, so you should record it for them.",""
"Yeah.",""
"The Open AI whisper models for transcribing audio.",""
"through whisper. CPP.P.",""
"Thinking back about variables, there's another variable.","variables"
"Oh, good.",""
"Which we assume.",""
"Okay.",""
"Which is how much we know what we're doing.",""
"So is that measured or manipulated?",""
"I think it's measured.",""
"Measured and manipulated, because as we go, we have so increased it.","reasoning"
"But that's fine.",""
"Right, so you mentioned that.",""
"you would be comfortable doing that in a non-metta study.","questioning"
"I would not, for example. I really have absolutely no clue what we're doing.","reasoning"
"So do we want to... But we are not measuring it and we kind of started without measuring it.","reasoning"
"How would we measure it other than self-reported?","reasoning"
"Yeah, self-reported, I guess. Okay.","reasoning"
"Like, you have a measure, which is I would know what I was doing if it wasn't so netter.",""
"I've got another metric, which is I have absolutely, like, I would not be able to do this, even in a non-metter.","reasoning"
"So I don't understand what you mean because you have been through the process and you didn't find any barriers not doing the process.","reasoning"
"I absolutely have no clue.","confusion"
"Just be aware we're recording in here.",""
"So that's fine if you want to come through, but just be aware.",""
"I'm recording audio.",""
"So, as you know, I do have a plan to do a study with human beings, which is very unusual, where I'm collecting data, which is also very unusual.","exposition"
"And going through this now, I find it hard, and it is not helping me going through it for that.","frustration|reflection"
"I still won't know how I would do this.","confusion|frustration|reflection"
"for that study.",""
"You are seeing the type of questions",""
"that you may need to consider later.",""
"Yeah, but it's still not telling me,","confusion|frustration|reflection"
"it's still not telling me how I would do this.","confusion|example|frustration"
"I would still have no clue","confusion|frustration"
"what I'm meant to do with those questions.","confusion|frustration"
"I can think around them,","confusion|frustration"
"but I don't know that the answers I'm giving","confusion|frustration"
"are the ones that are expected","confusion|frustration"
"for that kind of that kind of task.","confusion|frustration"
"So in that sense,",""
"I think I know less than,",""
"than what Joe does. Yeah, but what I'm doing. Whereas I don't understand these quantitative","confusion|reasoning"
"measures really that well, at least vaguely get, I get the method for, you know, Quol. I don't","confusion|frustration"
"really get quant, but that's just my own thing. And you presumably get that quite well. In my case,","exposition|reasoning"
"the things that I never went through this process, but I have run studies on data analysis and","exposition|reasoning"
"collected participants information and went through similar processes of collecting this type of","exposition|reasoning"
"information and analyzing, running statistical analysis on the methods that I apply in that data.","exposition|reasoning"
"Then it's not like I am familiar with this particular case, but I am familiarized with the collection of data and all of this.","confusion"
"But not with this process.",""
"Yeah.",""
"So, okay.",""
"So I guess then the question, if we did want to collect this stuff and let's collect it here and now, since we are collecting it here and now,","confusion|reasoning"
"if we put this on a, say, a five point lichord scale, where five represents, I am extremely confident that I know what we're doing in this process,","confusion|reasoning"
"and one represents, I have no confidence in what I'm doing.",""
"So I think, yeah, so I understand the questions.",""
"I don't know what answers are expected.",""
"Yes.",""
"Was it the worst possible point of confusion?",""
"So, I mean, in a weird way, I think I'd probably say, I understand the questions.",""
"I know what makes sense to me as answers, but I have no idea whether they are what's expected either.","confusion|correctness"
"and equally, whereas you may say, well, I'm about a one and this, I'd say I'm probably about a four on this.","confusion|correctness"
"Right. I understand the questions. I understand what it's asking and why it's asking them.",""
"I just have no idea whether I'm answering them in a useful way, which I think is possibly why there's humour,","meta|reasoning"
"or at least bad academic attempt at it, sneaking into this stuff, because when it's so hard to work out what you're actually talking about, it's...","meta|reasoning"
"what about you? Where do you think you'd be on that, like at scale?",""
"Yeah, I'm in the lower scale, but I wouldn't say one, maybe. But even if I am not familiar with this process, I may say two. But anyway, I agree with you that I don't know what is the expected type of answers. And maybe that's actually a really good point on, well, it takes the short example.","meta|reflection"
"I'm not sure if I have seen that everywhere else.",""
"Yeah, show example.",""
"It shows, it probably has examples of what you should expect to write in, I'm not sure if in all of the fields.","confusion"
"I mean, it goes back to the old API design guidance, right?","reflection|usability"
"You always expect show examples as being a good way to explain what it is that you're doing.","reflection|usability"
"And for that there are no examples here.","criticism|reflection|usability"
"It doesn't make it exactly.",""
"But there are.",""
"Yeah, that's what I see.",""
"Well, there are, aren't there?","confusion|missing|reflection"
"We've been ignoring.","missing"
"But did they miss that everywhere else?","missing"
"Yeah, yeah, it's open in the previous box.",""
"There's a show example.","example|missing|realisation"
"Yeah, yeah, I see it here.","example|realisation"
"I don't know if in the previous one.","confusion|example"
"Yeah, yeah, all of them have it.","realisation"
"This is wonderful.",""
"Look at that.",""
"We're discovering stuff.",""
"Okay, that's, that's really useful.","example|good"
"Okay.",""
"I need to an example.","example"
"No, but it tells you exactly what you need to.","good"
"So, okay, so if we go for the measured variable one,",""
"single-asker will be the perceived taste and spruly. No, so we're measuring",""
"our confidence in the pre-registration process.",""
"on a 1 to 5, oh sorry, wrong dash.",""
"Like it, that I can type the N-Dash on a Mac keyboard,",""
"so something about me that is deeply uncomfortable.",""
"5 scale, where 1 is I have no confidence.",""
"Yes.",""
"Yeah, I will in a sec.",""
"And",""
"5 is",""
"I am overconfident?",""
"No, um, utterly confident.",""
"Put some quotes in.",""
"Well, I mean, ideally I'd be using Emacs, right?",""
"Does ControlE work on this? Oh, it does.",""
"Hey, look, control A, controlling.",""
"You need to open the brackets somewhere, the parentage.",""
"Just before the where.",""
"You mean syntax, Sarah?",""
"Okay, so are there any other measured things?","measuring"
"We are measuring our process of completing this paperwork?","questioning"
"Are we really measured?","measuring|questioning"
"We are measuring the process.","measuring"
"I don't know what measure we're using.",""
"Yes, it will be the analysis, what do you mean?",""
"And the...",""
"Yes.",""
"This is the point, right? This is pre-registering the analysis only.","measuring|questioning"
"So we will be measuring some form of the process itself.","measuring|reasoning"
"We are measuring the process of collecting the data of filling in.","measuring|reasoning"
"Proofing description.",""
"And plan as textual transcription transcripts, we do not know.",""
"Oh, oh, God.",""
"Oh, that works.",""
"Command Z.",""
"Oh, no.",""
"Okay, so some of the Emacs commands work.",""
"Some of them don't.",""
"Yeah, I wouldn't expect that what web browser is this one?",""
"It's Edge, which is, of course, the one that we are required to use as part of the",""
"University of Bristol.",""
"Not in my Linux machine?",""
"In your Linux machine, absolutely.",""
"Linnit Edge is the only supported browser by the University of Bristol, I believe.",""
"I've installed it specially for the study.",""
"Well, I'd say read is a strong word.",""
"I know I'm being recorded.",""
"Hello.",""
"Hello, SLO.",""
"I love you a lot, even though I think you're nuts sometimes.",""
"But that is of no surprise to him.",""
"I believe he says the record stands that I am a troll and I'm tolerated on the grounds that I sometimes do reasonable work.","humor"
"I'm filling in the registered as free textual transcripts and I guess there's also a...","confidence"
"Which will be analyzed.",""
"And we don't know what the outcome measured looks like because...","measuring"
"For themes.",""
"Once collected.",""
"Which will we analyse for themes once analysed?","questioning"
"Has to be that way round, even though it's horrific because it is.","reasoning"
"And so that last sentence turns into the success of the pre-registration itself.","reasoning"
"We are measuring the success or not of being able to pre-register as the son as a...","reasoning"
"as a Boolean.",""
"No, come on, we're computer scientists. Let's make one.","humor"
"It's specified before.",""
"This is a bullion. It's true or false, right?","reasoning"
"Yeah, yeah, yeah. Yeah, yeah, right.",""
"Let's offer some measures to the electrical engineers in the building with a voltage under.","humor"
"0.3 volts signifying...","humor"
"No, hang on, I'm being trolley.","humor"
"Yeah, yeah, it's not the other one, yeah, right.","humor"
"So, or an average voltage of above 0.7, and anything in between will be...","humor"
"...and define, and...","humor"
"...unsteady.",""
"Hope that you've got error connection, ma'am.","humor"
"Oh.",""
"Why are we doing this?","humor"
"Let's proceed. We are already... We are... No, we need to go back to the design.","backtracking"
"Yeah, yeah, yeah, that's the almost.",""
"In 14 minutes, I think we can do it today.",""
"Hang on, let's have a quick look at the metadata. Oh, no.",""
"So design plan is the sort of thing we need to do.",""
"Show example. We like the show example, but...",""
"Oh, it's much shorter than I thought they were hoping.",""
"they were hoping. Okay, so then we can answer this easy. It's the great sentence that Awais keeps saying to us","reasoning"
"that we don't really understand. Autoethnographic observational study of the pre-registration process.",""
"I wouldn't believe this example fulfills the... What is asking?","confusion|questioning"
"No, but it's asking, it's asking it. It would really have.","confusion"
"high level, what is the method that you're applying?",""
"Well, to be as detailed as is necessary given the specific priority design, well, I mean, it looks complex.","reasoning"
"No, it's between subjects, right?","reasoning"
"So you've got two groups, with one factor.","reasoning"
"One factor will be given large sugar by maths and four levels.","analogy"
"One group is going to be given none.","analogy"
"One group is going to be given one gram, one group's going to be given 10 grand, one group is going","analogy"
"to give them 100 grams, and they're going to do a direct comparison between the groups.","analogy"
"It tells you absolutely everything you need to know.","analogy"
"Yeah.",""
"Except explain how the groups are going to be selected.","reasoning"
"Yeah, for example.",""
"Randomized logs.",""
"Well, it'll be the ones you get the one ground, ten ground.",""
"Yeah, but it's specified randomized logs, repeated measures.",""
"Of the study designers attempting to pre-register the study and design.","meta"
"open science guidelines. Did we mention open science guidelines in any part of this?",""
"Yeah, we did in the study information.",""
"But you can I forgot already what we are doing. That's that was two in the study information.",""
"Yeah, we're doing an author of an order of attempt to do open science, let's do an auto-ethnographic study trying to do open science.",""
"And designing guidelines. In order to attempt to do to write guidelines for open science. I think that was the...","meta"
"No, no, in the first part, in order to attempt to write guidelines to do open science.","meta"
"Oh!",""
"Right.",""
"Guidelines to do open science, let's do an author.",""
"Yeah, okay.",""
"I think it's worth saying to Awais as the only person.","bickering"
"Awais is the only person who has a vague idea of what we actually are meant to be of doing,","bickering"
"that he really needs to turn up next week, or in two weeks time, that's bit he's not going to turn up.","bickering"
"And what is the missing step here for the registration? Should we just inform our ways?","bickering"
"Right. It's right. And no, no, because I want to talk to a thing later.","bickering"
"Should we ask a ways if he wants to take a look before we submit the presentation?","bickering"
"No, because I want him, because we should be recording him having a look at it","bickering"
"and his comments that come back because that's part of the study.","bickering"
"So he should be in here being recorded.","bickering"
"It's not enough if he'd ask him to recall himself reacting to the...","bickering"
"to the...","bickering"
"Yeah, and that's fine for me.","bickering"
"I would just...",""
"You know what?",""
"Awais was the one who insisted that we do it like this.","bickering"
"I kind of don't care that it's pets.","bickering"
"If he has to wait another week, I'd rather we did it like that","bickering"
"than we did it in person, but he's the one who wanted us to do it like this.","bickering"
"Yeah.",""
"He should be here to do it.","bickering"
"Yeah.",""
"Otherwise, what's the point?",""
"Yeah.",""
"I'm learning.",""
"Yeah, we're all learning.",""
"we could have done it a lot more cheaply by actually having",""
"something worse, sorry?",""
"Well, no, but I think, and like in fairness to it all,",""
"I think actually the process, I think it is actually interesting","meta"
"looking at how people do it and where they struggle, right?","meta"
"And it will be, and it will make an interesting paper.","meta"
"I think even just the fact that we now noticed to show example,","meta"
"It's so insane.",""
"On a giant, what, enormous monitor of death,",""
"it took us two weeks to notice the show.",""
"And even then, when we look at it, we got picky about it.",""
"It wasn't really helpful.",""
"Well, that was kind of funny, right?",""
"You aren't familiar with this, and you were like,",""
"oh, this is completely unhelpful.",""
"But I kind of went, no, this is helpful",""
"because that tells me exactly what you're expecting",""
"in terms of it's a one-line answer,",""
"is very succinct, what is the method?",""
"I think I'm happy to call it a day here before I turn inward on myself and die.","humor"
"Yeah, and we tell a ways that he's expected in two weeks.",""
"Yeah.",""
"Do you want me to do that?","bickering"
"No, I am benevolent dictator.","bickering"
"I will go shout at the prof.","bickering"
"He's well used to me shouting at him.",""
"I am grumpy and he can bat off me and if he does I will go and tell Roosa, who is the person who is doing this, that one of our members isn't taking part and isn't being a productive member of society.",""
"Which I believe is the correct process of following for doing this and is a reasonable way of doing it.",""
"I'm going to cut recording now.",""
"Hello, Bossface.",""
"Hello.",""
"How are you?",""
"I'm all right.",""
"Why am I consenting to being recorded and transcribed, Joseph?",""
"Because you are.",""
"Because that was part of our agreements for how we would do this.",""
"Well, of course, because this is our auto-ethnography.",""
"It is, isn't it?",""
"So are you going to start by receiving informed consent from everyone?",""
"No, we decided that we wouldn't bother with that.",""
"No.",""
"On the grounds that we'd set it up for ourselves to go and say, yes, we should be doing this.",""
"And then we'd all said, yes, we'll do this.",""
"So therefore we already have agreed consent.",""
"Okay.",""
"But yeah, okay.",""
"But I think, you know, for due process, we should remind people that this is being video and audio recorded and the transcripts will be used for analysis.",""
"And made freely available?",""
"Yes.",""
"So, yes.",""
"You can, in fact, already look on our GitHub page and find all the different insults I've called you in the previous sessions.","humor"
"That may not be such a good idea, Joseph.","humor"
"And yet...","humor"
"Someone on the Twitterverse will get upset.","humor"
"Well, it's, you know, that's what you get for. for doing self-study of these things.",""
"Okay.",""
"Right.",""
"So, glorious leader.",""
"Yeah.",""
"Well, actually, now I'm concerned, because if I say glorious leader, it gets transcribed.",""
"Okay.",""
"Wouldn't be the worst thing we've said so far.",""
"But as you can very well see, I am in the office as mandated, but you both couldn't make it in.",""
"But I just felt that on principle I should come in to demonstrate my commitment.",""
"Okay.",""
"Okay, what are we doing?",""
"So, me, Francois, Miguel, have been through the form.",""
"You fill in to pre-register a study.",""
"Our basic conclusion, having filled it in, was that we don't know what the hell we're doing.","confusion"
"Okay.",""
"Whilst we think we filled things in correctly, we felt that we ought to have the only other person in the whole of this silly working group who is even a vaguest idea of what this process actually is to filling in these things.","checking"
"Okay.",""
"Go and have a look at it.",""
"So I did and I, so I have done my homework.",""
"Great.",""
"Okay.",""
"So I did.",""
"My question to you was to what extent are you happy for me to directly edit or to what extent do you want to do this right in the meeting now?","discussion"
"So we could put it up on the screen. we could discuss, I could edit it there and then.",""
"There are things that I think are perfectly fine.",""
"I think there are things that I don't think we need, and I think there are things that we need to potentially think about changing.","discussion"
"But that's just my view.",""
"So if you're doing this collectively, then we need to decide what we are happy with.","discussion"
"So my view would be, so normally we're doing this on my laptop, which makes it easy for me to share screen, which is why I've had to turn on the silly recording thing.",""
"My view is if you start sharing your screen, it should all be picked up by teams.",""
"Let's edit it here and now.",""
"Okay.",""
"Well, I mean, I can, I'm happy to share my screen.",""
"Yeah, yeah.",""
"Let me.",""
"Otherwise, we're not all really doing it together, and I feel that's sort of slightly cheating.",""
"Okay.",""
"So I trust that you can see my screen.",""
"We can.",""
"And...",""
"How are you, Francois, by the way?",""
"I hear you've been horribly sick.",""
"I'm okay.",""
"Well, I'm sorry.",""
"I didn't ask you about your illness and well-be. because I didn't want it to be transferred.",""
"Yes.",""
"Okay.",""
"Okay.",""
"So you haven't put any affiliated institutions.","discussion"
"Why not?","discussion"
"I think it's because we could not.","annoyance|discussion"
"I think they're inherited from the contributors and none of us have put in our institutional affiliation to our account.","annoyance|discussion"
"Oh, okay.","annoyance|discussion"
"Mine should be there because I do have a... longstanding but maybe I never really added it so yeah okay yeah I need to fix mine as well okay well I mean I think what I can do is I can I can fix this right now which I'm doing so yeah so mine wasn't I have a few in here okay so let me see if I can then associate it Bristol School of Computer Science.","annoyance|discussion"
"And I am a...",""
"Okay, but I think you guys can do this too on your profile.",""
"So...",""
"Should I try and sign it?",""
"Yes.",""
"Okay.",""
"So, let me go back to my projects. no that is oh no where have I gone now sorry all my registration sorry it has gone no this has gone into where has it gone okay I'm finding this very strange because it has seems to have lost my registrations.","discussion|frustration"
"Oh, because the registration isn't yet.",""
"It's a draft, yeah.",""
"It's a draft.",""
"Okay, I'm going to have to, okay.",""
"Here, okay, back to this.",""
"Okay.",""
"So let me go.",""
"Okay.",""
"Back to my registrations and see if I can, No, I still can't associate a project, an institution, which is very strange.","discussion|frustration"
"It is.",""
"Yes.",""
"If you hit that a little arrow on the right-hand side, there's a little down triangle under affiliation.","discussion|helping"
"Oh, no, there isn't.",""
"No, there isn't.","discussion|frustration"
"That's exactly the problem, right?","discussion|frustration"
"Yeah.",""
"Okay.",""
"So you chose, why did you choose the CC license?","discussion"
"Because that's what we said we would do it under.","discussion"
"Okay.",""
"I wasn't sure why is it social and behavioral sciences?","discussion"
"Because we're looking at how we behave when we're filling in forms.","discussion"
"So since it's qualitative, Miguel argued that it should be social and behavioral?","confusion|discussion"
"No, it's not.","assertion|discussion"
"I think we've kind of agreed.",""
"Okay.",""
"So my view would be that this is really computer science, HCI, computer supported cooperative work.","assertion|discussion"
"I think it certainly is science and technology studies.","assertion|discussion"
"But I don't think that we are doing kind of social science. sociology research or psychology research per se, and certainly not physical sciences and mathematics or organization development.","assertion|discussion"
"So I don't know why we are being organization development and physical sciences and mathematics.","assertion|discussion|questioning"
"I think it's because it's the super, super classes of the computer sciences bit.","confusion|discussion"
"Are you sure?",""
"No, sorry, the organization development is part of social and behavioral sciences.","confusion"
"I think we can take it off.","assertion"
"No, yeah, I think physical sciences you are right is that.","assertion"
"So I think the reason why we selected those is because one of the outcomes, one of the things we want this to enable is the setting of policy within the school of CS, which was about organization development.","discussion|questioning"
"But that may be less part of the research and more part of what we'll do after the research is finished.","discussion|questioning"
"I think that is the goal.",""
"I'd argue.",""
"I mean, okay, this has to be a collection thing.",""
"I think it's really interesting because this is part of the, you know, and I think we should discuss it.","discussion|meta"
"This is really helpful because in the end, this comes up in our analysis.","discussion|meta"
"Because I suddenly think that this is computer science.","discussion"
"I suddenly think this is STS.","confusion|discussion"
"Okay.",""
"STS is not so.",""
"Yeah.",""
"I don't, I can't see that we are studying really, we are not studying behavior.","discussion"
"We are not studying psychology and things like that.","discussion"
"So I don't think that that, so any behavioral scientists would tell us that this is not behavioral science.","discussion"
"Okay.",""
"And if you look at the subtopics, none of that, I mean, is it really anthropology that we are doing?","discussion|questioning"
"I'm not sure.",""
"Even though it's ethnography, it's not anthropology.","assertion|discussion"
"I mean, a lot of STS work does ethnography.",""
"So are we comfortable if I dropped organization development and social and behavioral science out of this?","discussion"
"Absolutely.",""
"We had a similar conversation.","discussion"
"We were confused about whether we should add them or not.","confusion|discussion"
"Okay.",""
"But I think it's fine to remove them just like it was fine to add them as well.","discussion"
"Oh, but I lost STS.",""
"Yeah.",""
"Why?",""
"Because it's part of social and behavioral sciences.","discussion"
"Okay.",""
"Then I will leave STS.","discussion"
"That makes sense.",""
"Okay.",""
"Sorry, I thought it was only the psychology part, which was I obviously can't see this properly on my computer.","confusion|discussion"
"So I'm getting quite confused.","confusion|discussion"
"Okay.",""
"Welcome to our world.","confusion"
"Okay.",""
"No, I mean, the form isn't really complicated.","easy"
"Okay.",""
