
[00:00:00.000 --> 00:00:02.440]   Right, so
[00:33:28.960 --> 00:33:57.800]   It yeah, it's just to to uh sub-divide any hypothesis that may have some internal hypothesis uh uh uh at the same time. Um okay, then um list especially the size testable hypothesis, then i if this is a list, maybe the first one should be one and the other ones should be one point one one point two one point three, because they are they are they are they are [SPEAKER_TURN]
[00:33:57.800 --> 00:33:59.460]   too much into numbering things. [SPEAKER_TURN]
[00:33:59.460 --> 00:34:05.300]   What I mean is that it should be clear that the first one is the main hypothesis somehow Uh. [SPEAKER_TURN]
[00:34:05.300 --> 00:34:08.640]   I mean I think it is, right? [SPEAKER_TURN]
[00:34:08.640 --> 00:34:17.560]   Yeah, okay. If to you this is clear that the hypothesis is a first sentence, then that's okay. I i for me for me [SPEAKER_TURN]
[00:34:17.560 --> 00:34:23.240]   I mean why would we have written it if we didn't want it to be read? [SPEAKER_TURN]
[00:34:23.740 --> 00:34:28.840]   People may think that this is just an introduction and the hypothesis is listed as one. [SPEAKER_TURN]
[00:34:28.840 --> 00:34:37.840]   Well, when they read the paper that we uh produce having, ratio editing up this study, they will see clearly that and then but that's the point of this right, It's. for accountability. [SPEAKER_TURN]
[00:34:37.840 --> 00:34:39.520]   Yeah. [SPEAKER_TURN]
[00:34:39.520 --> 00:34:42.100]   I mean we can number it if you want, but I mean it's just true. [SPEAKER_TURN]
[00:34:42.100 --> 00:35:00.300]   I it would just uh yeah. In my m in my mind it was like this least specific on time from testable hypothesis, then you should produce a list somehow to in my in my but that doesn't matter Maybe. it's as you say it's just text, that's it. Yeah, okay. Yeah. [SPEAKER_TURN]
[00:35:00.700 --> 00:35:15.540]   Um, so yeah, I I I think it's a good idea. Yeah, we're not uh yeah Um. one final knit Um. apparently the F_ in O_S_F_ is framework, not foundation. That that was me. [SPEAKER_TURN]
[00:35:29.660 --> 00:35:39.560]   I think he will tell us that we've done it all wrong. But but we have recorded this process and then we can have an argument about it which will aid in our understanding of what this process is. [SPEAKER_TURN]
[00:35:49.420 --> 00:36:03.420]   Isn't it wonderful, the uh the whisper A_I_ model, it really does quite good transcription. Well, I mean we can pay if it isn't good, it will pay to have it transcribed. Sorry, we'll make money bags pay to have it transcribed. But uh [SPEAKER_TURN]
[00:36:13.800 --> 00:36:34.660]   Yeah, I mean I did th I did think, you know, of putting up a big red sign saying we are recording audio here or maybe doing it in a more private room. But luckily no one said anything and if we're doing it by gate, I mean well, you know, we'll just we'll just we'll just hit them on the legs with hockey sticks and then that will throw off the gate and ask us, won't we?
[00:36:34.660 --> 00:36:39.380]   Thank God we have weapons right, I'm gonna stop recording before I say anything libelous. [SPEAKER_TURN]
[00:36:39.380 --> 00:36:41.720]   this be sure this is saved somehow uh. [SPEAKER_TURN]
[00:36:41.720 --> 00:36:42.820]   Yes, I will. Sorry, let's

